company,lane,line_type,cnam_match,fit_flag,lien_age_months,ucc_status,lender,lender_class,power_units,crm,david_colour,outcome,human_reached,owner_reached,says_cash_buyer,hung_up,david_comment
SNOWVILLE CREAMERY LLC,OTHER,nonFixedVoip,company,out_of_box,23,unexpired,LEAF Capital Funding,ef_independent,2,yes,,unreachable,True,False,False,False,Purchased lead 2025. Number and POC (purchased data) were incorrect.  LMWS. No promos.
G&G CONCRETE CONSTRUCTION LLC,A_DIRT,landline,company,,24,unexpired,LEAF Capital Funding,ef_independent,3,no,,no_decision,True,False,False,False,LMWS. She didn't know why I was calling!
FLECK ENTERPRISES INC,OTHER,mobile,other,,26,unexpired,Western Equipment Finance,ef_independent,5,no,dead,dead,True,False,False,False,LMWS. No promos. This is a Roto Rooter. Not an eqp needy compnay.
"KELLY'S SEPTIC SERVICE, LLC",A_VAC,mobile,none,,27,unexpired,LEAF Capital Funding,ef_independent,5,no,followup,followup,True,False,False,False,Call was answered by his wife. She said call after 8 PM! Residence
"HARBS HOLDINGS, LTD",OTHER,nonFixedVoip,other,,28,unexpired,Western Equipment Finance,ef_independent,3,no,,no_decision,False,False,False,False,Long ringer. No operator. LMIG. Offered promo rates. Business name is Bin There Dump That
HOCKING VALLEY DUMPSTERS LLC,OTHER,mobile,none,,31,unexpired,Western Equipment Finance,ef_independent,2,no,,no_decision,False,False,False,False,LVM. Offered promo rates. Business name is Bin There Dump That
PETTY FARMS LLC,OTHER,nonFixedVoip,none,,34,unexpired,LEAF Capital Funding,ef_independent,6,no,followup,followup,True,False,False,False,Not in till Monday. Follow up
SHAWN SEXTON,OTHER,fixedVoip,company,,42,unexpired,LEAF Capital Funding,ef_independent,3,no,,no_decision,False,False,False,False,Answering service. LM. Business name is Sexton's Excavating
CROWN EXCAVATING INC,A_DIRT,nonFixedVoip,company,,43,unexpired,LEAF Capital Funding,ef_independent,5,no,dead,maybe_later,True,True,False,False,No current needs. Ok with call back late next year!
BORDER PATROL LLC,OTHER,mobile,owner,unclear_equipment,44,unexpired,LEAF Capital Funding,ef_independent,5,no,,no_decision,True,False,False,False,LMWS. Offered Q4 promos.
DOVER CABINET INDUSTRIES INC,OTHER,nonFixedVoip,company,out_of_box,44,unexpired,LEAF Capital Funding,ef_independent,2,no,,no_decision,False,False,False,False,URL is down. LVM for John. Offered Q4 promos
CLN PORTABLE RESTROOM SERVICE COMPANY,A_VAC,mobile,none,,48,unexpired,Western Equipment Finance,ef_independent,5,no,dead,dead,True,False,False,False,LMWS. Offered Q4 promos. Sec (most likely family) said email. CLNPORTABLEs@gmail.com
GRANEX INDUSTRIES INC,OTHER,nonFixedVoip,company,out_of_box,48,unexpired,LEAF Capital Funding,ef_independent,4,yes,,no_decision,True,False,False,False,Purchased lead 2025. POC (purchased data) was incorrect. Sec didn't want to the take message! Said email him!
AAA WASTEWATER SERVICES INC,OTHER,nonFixedVoip,other,,64,unexpired,Western Equipment Finance,ef_independent,5,yes,existing,existing_lead,False,False,False,False,DO NOT CALL. Active lead. Applied in 2020 and 2022. Active lead. Was not approved
CGS IMAGING INC,OTHER,landline,company,out_of_box;lien_lapsed,46,historical,LEAF Capital Funding,ef_independent,2,no,dead,dead,True,False,False,True,Carol a quick no thanks and hang up!
CREEKSIDE GARDENS INC,OTHER,fixedVoip,company,out_of_box;lien_lapsed,64,historical,LEAF Capital Funding,ef_independent,7,no,dead,dead,True,False,False,True,Emp put me on hold and then hanged up!
AQUA SCIENCE INC,OTHER,landline,company,out_of_box;lien_lapsed,67,historical,LEAF Capital Funding,ef_independent,3,no,dead,dead,True,False,False,False,Very large company. Sec said they are not interested
DURBIN INTERIOR & EXTERIOR LANDSCAPING INC,OTHER,nonFixedVoip,owner,out_of_box;lien_lapsed,69,historical,Western Equipment Finance,ef_independent,6,no,dead,dead,True,False,False,True,Julie was very short! Not interested and hanged up!
SANDER CONTRACTING INC,OTHER,mobile,none,lien_lapsed,69,historical,LEAF Capital Funding,ef_independent,3,no,,no_decision,False,False,False,False,LMIG. Offered promo rate
