company,fit_flag,alek_signal,lender_note,lane,line_type,cnam_match,lien_age_months,ucc_status,ucc_secured_party,ucc_lender_class,power_units,equipment_ticket,crm,funded,david_colour,outcome,human_reached,owner_reached,david_comment
"Tri J. Co. Towing And Recovery, Inc.",DELIVERED;REV_BAND_EDGE,LIEN_LAPSED;WARM;lien_lapsed,"Lien LAPSED: SIGNATURE FINANCIAL AND LEASING, LLC 2020-08-14",W_TOW,fixedVoip,company,73,lapsed,"SIGNATURE FINANCIAL AND LEASING, LLC",ef_independent,3,tow truck (conf M),no,0,,no_decision,0,0,LMWS. No promos. She hanged up before I could say anything!
J & H Global Tree Services Llc,DELIVERED,LIEN_LAPSED;WARM;lien_lapsed,"Lien LAPSED: DE LAGE LANDEN FINANCIAL SERVICES, INC. 2020-08-12 | other liens on file: BANK:WELLS FARGO VENDOR FINANCIAL S:2020-09-28",T_TREE,mobile,other,73,lapsed,"DE LAGE LANDEN FINANCIAL SERVICES, INC.",ef_independent,4,T_TREE (conf L),no,0,yellow,dead,0,0,Provided number is Spanish MB! Called 8138202124 from online
Pj'S Concrete Pumping Llc,DELIVERED,LIEN_LAPSED;WARM;lien_lapsed,"Lien LAPSED: UNIVERSAL FINANCE CORP. 2020-08-28 | other liens on file: OTHER:READYCAP LENDING, LLC:2024-05-03",P_PUMP,mobile,owner,73,lapsed,UNIVERSAL FINANCE CORP.,ef_independent,2,concrete pump (conf M),no,0,,no_decision,0,0,LVM for Paul. Offered promo rate
Ww Tree L.L.C.,DELIVERED;SINGLE_UNIT;REV_BAND_EDGE,LIEN_LAPSED;WARM;lien_lapsed,"Lien LAPSED: WESTERN EQUIPMENT FINANCE, INC. 2020-06-10",T_TREE,mobile,owner,75,lapsed,"WESTERN EQUIPMENT FINANCE, INC.",ef_independent,1,tree service (conf H),no,0,,no_decision,0,0,LVM. Offered promo rate.
Seacoast Septic & Plumbing Services Llc,DELIVERED,LIEN_LAPSED;WARM;lien_lapsed,"Lien LAPSED: WESTERN EQUIPMENT FINANCE, INC. 2020-06-05",A_VAC,fixedVoip,company,75,lapsed,"WESTERN EQUIPMENT FINANCE, INC.",ef_independent,5,septic (conf L),no,0,yellow,dead,1,1,Sean screened his own call! He said no plns to buy anything.
Jag Property Solutions Llc,DELIVERED,LIEN_LAPSED;WARM;lien_lapsed,Lien LAPSED: M2 EQUIPMENT FINANCE LLC 2024-03-29,T_TREE,mobile,company,30,lapsed,M2 EQUIPMENT FINANCE LLC,ef_independent,7,tree (conf M),no,0,yellow,dead,1,1,Josh's wife said they are selling eqp. It has been a tough year.
Kauff'S Transportation Systems,DELIVERED;REV_BAND_EDGE,LIEN_LAPSED;WARM;lien_lapsed,Lien LAPSED: SIGNATURE FINANCIAL AND LEASING LLC 2020-03-16,W_TOW,landline,company,78,lapsed,SIGNATURE FINANCIAL AND LEASING LLC,ef_independent,2,tow truck (conf M),no,0,,no_decision,0,0,"He goes by ""Jeff"". HQ # is 561 844 5283. Screened. LMWE."
Par Towing And Transportation,DELIVERED;REV_BAND_EDGE,LIEN_LAPSED;WARM;lien_lapsed,"Lien LAPSED: NEXTGEAR CAPITAL, INC. 2020-01-29",W_TOW,landline,other,80,lapsed,"NEXTGEAR CAPITAL, INC.",ef_independent,2,,no,0,,no_decision,0,0,Wrong company name. Phantom Asset Recovery. LMWS for John
"Hdd Underground Elite, Llc",DELIVERED,LIEN_LAPSED;WARM;lien_lapsed,"Lien LAPSED: SPECIALTY CAPITAL LLC 2026-04-06 | other liens on file: OTHER:STAY FUNDED, LLC:2026-08-04;PCF_SOURCE:NORTH MILL CREDIT TRUST:2025-01-10",P_PUMP,mobile,owner,5,lapsed,SPECIALTY CAPITAL LLC,ef_independent,2,,no,0,yellow,dead,0,0,MB is full. Generic MB. Same number online
Cardinal Fence,DELIVERED;REV_BAND_EDGE;E_UNEXAMINED,CONTRACT_AWARD;HOT;lien_mid,Contract award (change order) from City of Dunedin dated 2026-07-10 - Facebook post,T_TREE,landline,none,41,mid,"DE LAGE LANDEN FINANCIAL SERVICES, INC.",ef_independent,2,t_tree (name/cargo hint) (conf L),no,0,,no_decision,1,0,George is not in DBN. LVM for Tommy Smith
S B Pallets,DELIVERED;REV_BAND_EDGE;E_UNEXAMINED,EXPANSION;HOT;lien_mid,"S&B Pallets (Sanchez Brothers Corp) expansion press release dated 2026-09-02 | other liens on file: BANK:AMERICAN BANK, N.A.:2024-07-09;BANK:AMERICAN BANK, N.A.:2024-10-11;INDEP_EF:BLACKRIVER BUSINESS CAPITAL, L:2021-06-01;INDEP_EF:NAVITAS CREDIT CORP.:2023-11-16",T_TREE,mobile,company,21,mid,NAVITAS CREDIT CORP.,ef_independent,2,t_tree (name/cargo hint) (conf L),no,0,,no_decision,0,0,LMIGMB. Offered promo rates
