company,segment,lane,line_type,cnam_match,crm,david_colour,outcome,human_reached,owner_reached,says_cash_buyer,hung_up,ai_screened,david_comment,david_action
"F & R TRUSS COMPANY, INC.",NOLIEN,B,mobile,surname,no,dead,unreachable,False,False,False,False,False,Long ringer. MB is full,
"HENDERSON'S SANI SERVICE SYSTEMS, INC.",NOLIEN,C,mobile,company,yes,maybe,maybe_later,True,True,False,False,False,Talked with Kay (his wife). Not sure if they need anything. PCF's lead since 2016,
JERRY'S MOBILE HOME SETUP SERVICE LLC,NOLIEN,B,mobile,owner,no,,no_decision,False,False,False,False,False,Straight to MB. Offered Q3 promos,
JUVIER TRUCKING CORP,NOLIEN,B,mobile,none,no,dead,dead,True,False,False,False,False,Sec said they have all the eqp they need. Does not want follow up,
"MORGAN MARINE SALVAGE & RECOVERY, LLC",NOLIEN,C,mobile,other,no,,no_decision,True,False,False,False,False,LMWS. Offered promo rate,
"MR. SEPTIC, LLC",NOLIEN,A_VAC,mobile,owner,no,followup,followup,True,False,False,False,False,Sec said call back tomorrow. Scheduled,
"PANHANDLE EXCAVATING, INC.",NOLIEN,A_DIRT,mobile,surname,no,,no_decision,False,False,False,False,False,LMIGMB. Offered promo rates,
"PROVENCHER PIERS, INC.",NOLIEN,A_DIRT,mobile,company,no,,no_decision,False,False,False,False,False,LVM. Offered promo rates.,
"ROBERTS TRUCKING, INC.",NOLIEN,B,mobile,owner,no,dead,dead,True,True,False,False,False,Larry said he is not interested. Does not want follow up,
"SUNCOAST TRANSPORT ENTERPRISES, INC.",NOLIEN,A_DIRT,mobile,none,no,dead,unreachable,False,False,False,False,False,MB is not set up,
"YODER SEPTIC SERVICE, INC.",NOLIEN,A_VAC,mobile,owner,no,dead,dead,True,True,False,False,False,Sec (sounded like his wife) said they are blessed with what they have . No plans to buy anything,
AFFORDABLE TOWING OF CALHOUN COUNTY LLC,NOLIEN,C,nonFixedVoip,company,no,followup,followup,False,False,False,False,False,"No Terry Baggett. MALLORY, JOHN is listed as manager on SOS. Try again",
A-1 AUTO SERVICE INC.,NOLIEN,C,fixedVoip,company,no,dead,dead,True,False,False,True,False,Sec hanged up as soon as I said financing,
"ADVANCED SEPTIC SERVICES, INC.",NOLIEN,A_VAC,fixedVoip,company,no,dead,dead,True,False,True,False,False,"Sec said they don't need any equipment and if they buy anything, they do not finance",
"APALACHEE BACKHOE AND SEPTIC TANK, LLC",NOLIEN,A_DIRT,nonFixedVoip,company,no,,no_decision,True,False,False,False,False,LMWS. Offered promo rates.,
"B & B DUGGER, INC.",NOLIEN,B,fixedVoip,company,no,dead,dead,True,False,True,False,False,Sec said they don't finance when they buy something. She sounded like his wife or family,
"BUSH SERVICES, INC.",NOLIEN,A_DIRT,landline,company,no,dead,dead,True,False,True,False,False,Sec said they don't finance any of their equipment,
"COBBS TOWING & RECOVERY, LLC",NOLIEN,C,fixedVoip,company,no,dead,dead,True,False,False,True,False,Sec hanged up when I asked for Daniel.,
